Si.No,Name,Author,Price,Rating
1,Educart PRAYAS CBSE Class 10 for 2026 (Introducing revolutionary marks increment concept - NCERT CHITS) (class 10 mock paper 2026),Prashant Kirad,697,4.4 out of 5 stars
2,Sacred Waters,Stephen Alter,399,4.7 out of 5 stars
3,"My First Library: Boxset of 10 Board Books for Kids (Pack 1) | Includes ABC, Numbers, Shapes, Colors, Wild Animals, Farm Animals & Pets, Birds, Fruits, Vegetables & Transport | Early Learning Board Books for Babies, Toddlers & Preschoolers | Ages 0-3 Years",Wonder House Books,379,4.5 out of 5 stars
4,"Oswaal CBSE 20 Combined Sample Question Papers class 10 (English Lang & Lit, Maths Standard, Science & Social Science) for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025)",Oswaal Editorial Board,455,4.5 out of 5 stars
5,Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],Vinod Kumar Shukla,190,4.4 out of 5 stars
6,Nilotpal Mrinal,Nilotpal Mrinal,225,N/A
7,I Cannot Say Goodbye to You: An unforgettable romance novel by one of India’s most popular writers - Rithvik Singh,Rithvik Singh,286,4.7 out of 5 stars
8,Atomic Habits: The life-changing million copy bestseller,James Clear,497,4.6 out of 5 stars
9,The Psychology of Money,Morgan Housel,252,4.6 out of 5 stars
10,"White Nights – Fyodor Dostoyevsky | A Million-Copy Bestseller | A Timeless Story of Love, Longing & Solitude – Penguin Classics",Fyodor Dostoyevsky,112,4.6 out of 5 stars
11,"Indian Polity Courseware (English), 8e by M Laxmikanth for UPSC CSE 2025-26 | 40+ Conceptual Videos | 95 Well-structured Chapters | 18 Insightful ... UPSC Main Exam Questions | Practice Questions",M Laxmikanth,748,4.6 out of 5 stars
12,The Gita For Gen Z: Clarity in Chaos,Rania Sen,263,5.0 out of 5 stars
13,"Oswaal CBSE 15 Sample Question Papers Class 10 Science for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025), recommended by 2025 CBSE Toppers with Chapter wise Highly Probable Questions, includes 5 Most Likely SQPs & all types of CBQs",Oswaal Editorial Board,355,4.4 out of 5 stars
14,Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,182,4.4 out of 5 stars
15,"Oswaal CBSE 15 Sample Question Papers Class 10 Mathematics Standard for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025), recommended by 2025 CBSE Toppers",Oswaal Editorial Board,360,4.4 out of 5 stars
16,"Ikigai: The Japanese Secret to a Long and Happy Life | A Global Self-Help Phenomenon that Guides You Towards a Joyful, Balanced, and Meaningful Life","Francesc García, Héctor,Miralles",363,4.6 out of 5 stars
17,"My First Library Set of 10 Board Books for Kids, Early Learning Book for Babies & Toddlers, Alphabets, Body Parts, Numbers, 2+ Years",PW,369,4.5 out of 5 stars
18,My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing) |Best Selling Tracing Book for Kids in India | Early Learning | Tracing Lines & Pattern Writing Activities | Premium Quality Return Gift | Ages 2 - 5 Years | 1.5 hours of fun time,Wonder House Books,125,4.4 out of 5 stars
19,"Lucent's General Knowledge 2025 | 15th Revised Edition | English Medium | For UPSC, SSC, NDA, CDS, Banking, Railways, Defence & All Competitive Exams",Dr. Binay Karna,218,4.3 out of 5 stars
20,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),Brianna Wiest,262,4.4 out of 5 stars
21,Ayodhya Cherina Krishna - Telugu Novel,Srinivas Kamisetty,249,4.7 out of 5 stars
22,"1 O’Clock Class 10 (Science + Social Science) Combo | Flowcharts, Tables, Premium Art Paper | Audiobooks on App + 3D Interactive Diagrams via QR | NCERT-CBSE Aligned",Kriti Sharma,477,4.7 out of 5 stars
23,"Word Power Made Easy - RED COVER • Original and Authorized • The Most Effective Vocabulary Builder In the English Language • Over One Millions Copies sold worldwide • With Self Preparation Test, useful for all English exams • Latest 2024 Edition.",Norman Lewis,153,4.4 out of 5 stars
24,"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness",Ichiro Kishimi and Fumitake Koga,338,4.6 out of 5 stars
25,"Oswaal CBSE 15 Sample Question Papers Class 10 Social Science for 2026 Board Exam (As per CBSE Sample Question Paper issued on 30 July 2025), recommended by 2025 CBSE Toppers with Chapter wise Highly Probable Questions, includes 5 Most Likely SQPs & all types of CBQs",Oswaal Editorial Board,361,4.4 out of 5 stars
26,HEALI HOGU KARANA,RAVI BELAGERE,342,4.6 out of 5 stars
27,Don't Believe Everything You Think (English),Joseph Nguyen,172.96,4.5 out of 5 stars
28,"Parmar SSC Fatman | GK/GS Theory Book | English Medium | 1st Edition, 2025 | Useful For SSC CGL and CHSL (Tier 1 & 2) | CPO | MTS | Steno | Selection Post | JE | GD | Defence | Railway | PCS | State Police & All Other One Day Competitive Examination",Parmar Sir,441,4.4 out of 5 stars
29,"Mother Mary Comes to Me: From the Booker Prize-Winning Author, Arundhati Roy",Arundhati Roy,550,4.7 out of 5 stars
30,The Housemaid (Book 1 in series): An Absolutely Addictive Psychological Thriller with a Jaw-Dropping Twist | NOW A MAJOR MOTION PICTURE,Freida McFadden,331,4.4 out of 5 stars
